"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","fix"
"26",34,"Brandon Bass\bassbr01","PF",25,"ORL",76,51,1980,6,11.7,0.515,0,0,0,6,11.7,0.516,3.5,4.2,0.815,2.4,5.3,7.7,1,0.5,0.9,1.8,2.9,15.5,"brandonbass"
"27",35,"Tony Battie\battito01","C",34,"PHI",38,0,377,4.3,9.2,0.469,0.2,0.3,0.667,4.1,8.9,0.462,0.8,1.3,0.571,1.6,7.8,9.5,1.1,0.5,1.4,1.1,5.6,9.5,"tonybattie"
"28",37,"Nicolas Batum\batumni01","SF",22,"POR",80,67,2522,5.2,11.5,0.455,1.7,4.9,0.345,3.6,6.6,0.535,2,2.3,0.841,1.6,3.6,5.2,1.8,1,0.7,1.2,2.8,14.1,"nicolasbatum"
"29",39,"Michael Beasley\beaslmi01","SF",22,"MIN",73,73,2361,8.6,19,0.45,0.9,2.5,0.366,7.6,16.5,0.463,3.3,4.4,0.753,1.8,4.4,6.2,2.4,0.8,0.8,3,3.4,21.4,"michaelbeasley"
"30",40,"Rodrigue Beaubois\beaubro01","PG",22,"DAL",28,26,496,6.8,16.2,0.422,1.8,6,0.301,5,10.2,0.493,1.7,2.2,0.767,0.5,3.3,3.8,4.6,1.5,0.6,3.4,5.5,17.1,"rodriguebeaubois"
"31",41,"Marco Belinelli\belinma01","SG",24,"NOH",80,69,1957,5.6,12.7,0.437,2.5,6,0.414,3.1,6.8,0.458,1.8,2.3,0.784,0.3,2.5,2.8,1.7,0.7,0.1,1.4,2.7,15.4,"marcobelinelli"
"32",42,"Charlie Bell\bellch01","SG",31,"GSW",19,0,171,2.5,9.1,0.279,1.3,4.4,0.286,1.3,4.6,0.273,0.4,0.8,0.5,1.3,2.5,3.8,2.7,1.3,0.2,1.3,2.7,6.7,"charliebell"
"33",43,"Raja Bell\bellra01","SG",34,"UTA",68,63,2097,3.3,8,0.409,1.2,3.3,0.352,2.1,4.7,0.449,1.6,1.8,0.892,0.5,2.5,3,2,1,0.2,1.1,2.9,9.3,"rajabell"
"34",45,"Andris Biedrins\biedran01","C",24,"GSW",59,55,1397,3.7,6.9,0.534,0,0,NA,3.7,6.9,0.534,0.3,0.8,0.323,3.7,7.2,11,1.5,1.3,1.3,1.5,5.1,7.6,"andrisbiedrins"
"35",47,"DeJuan Blair\blairde01","PF",21,"SAS",81,65,1734,6.1,12.1,0.501,0,0,0,6.1,12.1,0.503,1.9,2.8,0.657,4.5,7.3,11.7,1.6,2,0.9,2.3,4.4,14,"dejuanblair"
"36",48,"Steve Blake\blakest01","PG",30,"LAL",79,0,1581,2.5,7,0.359,1.7,4.4,0.378,0.8,2.6,0.327,0.6,0.7,0.867,0.4,3.1,3.6,3.9,0.9,0.1,1.7,2.3,7.3,"steveblake"
"37",49,"Andray Blatche\blatcan01","PF",24,"WAS",64,63,2172,7.1,15.9,0.445,0.1,0.3,0.222,7,15.6,0.449,3.6,4.7,0.777,3,5.7,8.7,2.4,1.6,0.8,2.9,3,17.8,"andrayblatche"
"38",50,"Eric Bledsoe\bledser01","PG",21,"LAC",81,25,1841,4,9.5,0.424,0.6,2.3,0.276,3.4,7.2,0.47,1.9,2.6,0.744,1.3,3,4.4,5.7,1.8,0.5,3.8,2.5,10.6,"ericbledsoe"
"39",51,"Keith Bogans\boganke01","SG",30,"CHI",82,82,1461,3.1,7.6,0.404,2.2,5.8,0.38,0.8,1.7,0.486,0.5,0.8,0.656,0.5,3.2,3.6,2.5,0.9,0.2,1,2.8,8.8,"keithbogans"
"40",52,"Andrew Bogut\bogutan01","C",26,"MIL",65,65,2297,5.8,11.6,0.495,0,0.1,0,5.8,11.6,0.497,1.5,3.4,0.442,3.1,8.2,11.3,2.1,0.7,2.6,2,3.4,13,"andrewbogut"
"41",53,"Matt Bonner\bonnema01","PF",30,"SAS",66,1,1432,4.3,9.3,0.464,2.6,5.8,0.457,1.7,3.5,0.475,0.8,1.1,0.744,1.5,4.5,6,1.5,0.7,0.5,0.7,2.8,12.1,"mattbonner"
"42",54,"Trevor Booker\booketr01","PF",23,"WAS",65,14,1063,4.7,8.6,0.549,0,0,0,4.7,8.5,0.552,2.3,3.4,0.673,3.3,5.2,8.5,1.2,1,1.4,1.3,3.9,11.7,"trevorbooker"
"43",55,"Carlos Boozer\boozeca01","C",29,"CHI",59,59,1882,8.2,16.2,0.51,0,0,NA,8.2,16.2,0.51,3.3,4.7,0.701,2.5,8.3,10.8,2.8,0.9,0.3,2.9,3.6,19.8,"carlosboozer"
"44",56,"Chris Bosh\boshch01","PF",26,"MIA",77,77,2795,6.7,13.6,0.496,0.1,0.3,0.24,6.7,13.3,0.502,4.9,6.1,0.815,1.8,6.4,8.3,1.9,0.8,0.6,1.8,2.2,18.5,"chrisbosh"
"45",57,"Earl Boykins\boykiea01","PG",34,"MIL",57,0,862,6.5,14.7,0.443,1.1,3,0.38,5.4,11.7,0.459,2.9,3.4,0.841,0.6,1.7,2.3,5.9,1.6,0.1,2.2,1.8,17,"earlboykins"
"46",58,"Craig Brackins\brackcr01","PF",23,"PHI",3,0,33,4.4,17.5,0.25,0,5.5,0,4.4,12,0.364,0,0,NA,2.2,2.2,4.4,1.1,1.1,0,0,3.3,8.7,"craigbrackins"
"47",59,"Avery Bradley\bradlav01","PG",20,"BOS",31,0,162,5.1,14.9,0.343,0,1.1,0,5.1,13.8,0.371,1.3,2.7,0.5,0.9,2.9,3.8,2.7,2,0,3.6,4.4,11.6,"averybradley"
"48",60,"Elton Brand\brandel01","PF",31,"PHI",81,81,2809,6.4,12.6,0.512,0,0,0,6.4,12.6,0.512,2.7,3.5,0.78,3,5.6,8.7,1.5,1.2,1.4,1.3,3.1,15.6,"eltonbrand"
"49",62,"Ronnie Brewer\brewero02","SG",25,"CHI",81,1,1781,4.1,8.6,0.48,0.1,0.5,0.222,4,8.1,0.498,1.8,2.7,0.654,1.1,4.2,5.3,2.8,2.1,0.4,1.1,1.7,10.2,"ronniebrewer"
"50",63,"Jon Brockman\brockjo01","C",23,"MIL",63,6,677,2.6,5,0.511,0,0,NA,2.6,5,0.511,2.1,3.1,0.678,3.9,5.8,9.8,1,0.7,0.2,1.3,6.3,7.2,"jonbrockman"
"51",66,"Kwame Brown\brownkw01","C",28,"CHA",66,50,1714,4.1,7.9,0.517,0,0,NA,4.1,7.9,0.517,2.9,4.9,0.589,3.1,6.4,9.5,0.9,0.5,0.8,1.4,3.7,11,"kwamebrown"
"52",67,"Shannon Brown\brownsh01","SG",25,"LAL",82,0,1568,6.3,14.8,0.425,1.7,4.9,0.349,4.6,9.9,0.462,2.1,2.3,0.911,0.8,2.8,3.6,2.2,1.5,0.4,1.7,2.8,16.3,"shannonbrown"
"53",68,"Kobe Bryant\bryanko01","SG",32,"LAL",82,82,2779,9.6,21.2,0.451,1.5,4.6,0.323,8.1,16.6,0.487,6.3,7.6,0.828,1.1,4.4,5.4,5,1.3,0.2,3.1,2.2,26.9,"kobebryant"
"54",69,"Chase Budinger\budinch01","SF",22,"HOU",78,22,1738,5.8,13.6,0.425,1.8,5.7,0.325,3.9,7.9,0.497,2.4,2.9,0.855,1.1,4.7,5.8,2.6,0.8,0.4,1.4,2.4,15.8,"chasebudinger"
"55",70,"Caron Butler\butleca01","SF",30,"DAL",29,29,867,7.1,15.7,0.45,1.2,2.7,0.431,5.9,13,0.454,2.8,3.7,0.773,0.9,4,4.9,1.9,1.2,0.3,2,2.4,18.1,"caronbutler"
"56",72,"Andrew Bynum\bynuman01","C",23,"LAL",54,47,1500,5.7,9.9,0.574,0,0,NA,5.7,9.9,0.574,3.3,5,0.66,4.1,8.1,12.2,1.8,0.5,2.5,1.8,3.4,14.7,"andrewbynum"
"57",73,"Will Bynum\bynumwi01","PG",28,"DET",61,5,1125,5.8,13,0.448,0.5,1.6,0.32,5.3,11.4,0.466,3.3,3.9,0.836,0.5,1.9,2.4,6.2,1.7,0.1,2.7,3.6,15.4,"willbynum"
"58",74,"Jose Calderon\caldejo01","PG",29,"TOR",68,55,2102,4.5,10.2,0.44,1,2.7,0.365,3.5,7.5,0.466,1.5,1.8,0.854,0.5,2.9,3.5,10.4,1.4,0.1,2.5,2.4,11.5,"josecalderon"
"59",75,"Marcus Camby\cambyma01","C",36,"POR",59,51,1540,2.7,6.9,0.398,0,0,0,2.7,6.8,0.399,1,1.6,0.614,4.3,9.9,14.2,2.8,0.9,2.2,1.4,3.3,6.5,"marcuscamby"
"60",76,"Derrick Caracter\caracde01","C",22,"LAL",41,0,215,5.4,11.1,0.485,0,0,NA,5.4,11.1,0.485,2.8,3.9,0.739,3.2,4,7.2,1.2,0.7,1.7,3.2,7.9,13.6,"derrickcaracter"
"61",77,"Brian Cardinal\cardibr01","SF",33,"DAL",56,4,618,2.5,5.8,0.43,2.4,5.1,0.483,0.1,0.8,0.077,1,1,0.944,0.6,2.9,3.4,2.3,1.4,0.4,1,4.8,8.4,"briancardinal"
"62",80,"Matt Carroll\carroma01","SG",30,"CHA",54,1,582,5.5,12.3,0.447,1.1,2.8,0.37,4.5,9.5,0.471,2.5,3.2,0.769,0.7,3.5,4.2,1.4,1.1,0.4,1.4,2.7,14.5,"mattcarroll"
"63",83,"Omri Casspi\casspom01","SF",22,"SAC",71,27,1702,4.8,11.5,0.412,1.9,5.2,0.372,2.8,6.3,0.445,1.4,2.1,0.673,1.6,4.9,6.5,1.6,1.1,0.3,1.4,2.4,12.9,"omricasspi"
"64",84,"Mario Chalmers\chalmma01","PG",24,"MIA",70,28,1579,3.5,8.8,0.399,1.9,5.3,0.359,1.6,3.6,0.459,1.2,1.4,0.871,0.3,3.1,3.3,4,1.7,0.2,2.1,3.6,10.2,"mariochalmers"
"65",85,"Tyson Chandler\chandty01","C",28,"DAL",74,74,2059,4.7,7.1,0.654,0,0,NA,4.7,7.1,0.654,3.8,5.2,0.732,3.6,8.5,12.1,0.6,0.6,1.4,1.5,4.2,13.1,"tysonchandler"
"66",87,"Josh Childress\childjo01","SG",27,"PHO",54,3,894,4.9,8.6,0.565,0,0.6,0.063,4.8,8,0.606,1.2,2.4,0.492,2.8,3.5,6.2,1.7,1.3,0.9,1.8,2.7,11,"joshchildress"
"67",90,"Jason Collins\collija04","C",32,"ATL",49,28,593,2.1,4.3,0.479,0.1,0.1,1,2,4.2,0.471,1.6,2.5,0.659,1.8,4.4,6.2,1.3,0.5,0.5,1.6,5.9,5.8,"jasoncollins"
"68",91,"Sherron Collins\collish01","PG",23,"CHA",20,0,66,3.8,13.6,0.28,1.1,5.5,0.2,2.7,8.2,0.333,0.5,0.5,1,0,2.7,2.7,4.4,1.1,0,2.2,1.1,9.3,"sherroncollins"
"69",92,"Darren Collison\collida01","PG",23,"IND",79,79,2360,6.1,13.3,0.457,0.6,1.9,0.331,5.4,11.4,0.479,3.1,3.5,0.871,0.6,2.8,3.4,6.1,1.3,0.2,3,1.7,15.8,"darrencollison"
"70",93,"Nick Collison\collini01","C",30,"OKC",71,2,1524,3.2,5.7,0.566,0,0,NA,3.2,5.7,0.566,1.3,1.7,0.753,2.8,4.7,7.5,1.6,1,0.7,1.3,5,7.8,"nickcollison"
"71",94,"Mike Conley\conlemi01","PG",23,"MEM",81,81,2872,5.3,11.9,0.444,1,2.7,0.369,4.3,9.2,0.466,2.3,3.1,0.733,0.4,2.7,3.1,6.6,1.8,0.2,2.2,2.3,13.9,"mikeconley"
"72",95,"Brian Cook\cookbr01","PF",30,"LAC",40,0,447,5.8,13.7,0.424,2.7,6.4,0.43,3.1,7.3,0.418,1.2,1.9,0.625,1.5,6.2,7.7,1.2,1,0.9,2,6,15.5,"briancook"
"73",96,"Daequan Cook\cookda02","SG",23,"OKC",43,0,598,4.8,10.9,0.436,3.9,9.3,0.422,0.8,1.6,0.519,1,1.2,0.8,0.5,3.9,4.3,1.2,0.8,0.1,1,3.1,14.4,"daequancook"
"74",97,"Marcus Cousin\cousima01","C",24,"UTA",4,0,18,4,6,0.667,0,0,NA,4,6,0.667,0,0,NA,0,6,6,0,0,2,2,2,8,"marcuscousin"
"75",98,"DeMarcus Cousins\couside01","C",20,"SAC",81,62,2309,6.7,15.7,0.43,0,0.3,0.167,6.7,15.4,0.435,4.3,6.3,0.687,3.4,7.5,10.9,3.2,1.3,1.1,4.2,5.2,17.8,"demarcuscousins"
"76",99,"Jamal Crawford\crawfja01","SG",30,"ATL",76,0,2297,5.8,13.7,0.421,1.9,5.5,0.341,3.9,8.2,0.474,3.5,4.1,0.854,0.3,1.7,2,3.8,0.9,0.2,2.3,1.5,16.9,"jamalcrawford"
"77",102,"Stephen Curry\curryst01","PG",22,"GSW",74,74,2489,7.3,15.2,0.48,2.2,4.9,0.442,5.1,10.3,0.498,3.1,3.3,0.934,0.8,3.4,4.1,6.2,1.6,0.3,3.3,3.4,19.9,"stephencurry"
"78",103,"Samuel Dalembert\dalemsa01","C",29,"SAC",80,46,1938,5,10.5,0.473,0,0,0,5,10.5,0.474,2,2.7,0.73,3.9,8.3,12.2,1.2,0.7,2.2,2.5,4.2,12,"samueldalembert"
"79",104,"Erick Dampier\dampier01","C",35,"MIA",51,22,815,2.3,3.9,0.584,0,0,0,2.3,3.9,0.591,1.1,1.9,0.545,2.3,5.5,7.8,1,0.6,2.1,1.4,3.6,5.7,"erickdampier"
"80",105,"Antonio Daniels\daniean01","PG",35,"PHI",4,0,35,2.1,5.1,0.4,0,2.1,0,2.1,3.1,0.667,2.1,2.1,1,0,5.1,5.1,2.1,0,0,1,0,6.2,"antoniodaniels"
"81",106,"Marquis Daniels\daniema01","SF",30,"BOS",49,0,938,4.4,8.9,0.491,0.2,0.8,0.19,4.2,8.1,0.521,1.5,2.2,0.684,0.9,3.4,4.3,2.5,1.5,0.8,1.5,2.4,10.4,"marquisdaniels"
"82",108,"Ed Davis\davised01","PF",21,"TOR",65,17,1602,4.8,8.4,0.576,0,0,NA,4.8,8.4,0.576,1.6,2.9,0.555,3.8,6.6,10.4,0.9,0.9,1.5,1.1,4.1,11.3,"eddavis"
"83",109,"Glen Davis\davisgl01","C",25,"BOS",78,13,2298,5.6,12.5,0.448,0,0.2,0.133,5.6,12.3,0.454,3.1,4.2,0.736,1.6,5.1,6.7,1.4,1.2,0.5,1.3,3.6,14.3,"glendavis"
"84",110,"Austin Daye\dayeau01","SF",22,"DET",72,16,1446,4.8,11.7,0.41,1.7,4.3,0.401,3.1,7.4,0.415,2,2.7,0.759,1.6,5.2,6.8,1.9,1,1,1.5,4.1,13.4,"austindaye"
"85",111,"Carlos Delfino\delfica01","SF",28,"MIL",49,40,1590,4.5,11.6,0.39,2.4,6.4,0.37,2.2,5.2,0.415,1.4,1.7,0.8,0.5,4,4.5,2.5,1.7,0.2,1.3,1.6,12.8,"carlosdelfino"
"86",112,"Luol Deng\denglu01","SF",25,"CHI",82,82,3208,6,13,0.46,1.3,3.7,0.345,4.7,9.2,0.506,2.8,3.8,0.753,1.3,4,5.3,2.6,0.9,0.5,1.8,1.8,16,"luoldeng"
"87",113,"DeMar DeRozan\derozde01","SG",21,"TOR",82,82,2851,6.8,14.6,0.467,0.1,0.7,0.096,6.7,13.9,0.485,4.1,5.1,0.813,0.9,3,4,1.9,1.1,0.4,1.8,2.7,17.8,"demarderozan"
"88",114,"Boris Diaw\diawbo01","PF",28,"CHA",82,82,2778,4.9,10,0.492,1,2.9,0.345,3.9,7.1,0.553,1.1,1.6,0.683,1.4,4,5.4,4.4,1,0.6,2.2,2.5,12,"borisdiaw"
"89",115,"Ike Diogu\dioguik01","PF",27,"LAC",36,0,470,6.4,11.3,0.561,0,0,NA,6.4,11.3,0.561,3.1,4.7,0.661,3.1,5.7,8.8,0.2,0.2,0.2,1.7,5.5,15.9,"ikediogu"
"90",116,"DeSagana Diop\diopde01","C",29,"CHA",16,0,181,1.6,4.8,0.333,0,0,NA,1.6,4.8,0.333,0.8,2.2,0.364,2.4,5.6,8,1.4,0.8,3,2.2,5.2,4,"desaganadiop"
"91",117,"Keyon Dooling\doolike01","PG",30,"MIL",80,22,1757,4.2,10.6,0.397,1.7,4.8,0.346,2.6,5.8,0.439,1.6,1.9,0.83,0.2,2.2,2.4,5,1.1,0.1,1.9,2.4,11.7,"keyondooling"
"92",118,"Joey Dorsey\dorsejo01","C",27,"TOR",43,9,522,3.6,6.8,0.525,0,0,NA,3.6,6.8,0.525,2.1,4.5,0.477,5.4,7.7,13.1,1.9,1.7,1.2,2.7,5.4,9.3,"joeydorsey"
"93",119,"Toney Douglas\douglto01","SG",24,"NYK",81,9,1971,5.7,13.8,0.416,2.6,7,0.373,3.1,6.8,0.46,1.6,2,0.794,1.2,3.3,4.5,4.5,1.6,0.1,1.6,3.2,15.6,"toneydouglas"
"94",120,"Chris Douglas-Roberts\douglch01","SF",24,"MIL",44,12,884,4.8,11.1,0.429,0.6,1.9,0.326,4.2,9.2,0.449,3,3.6,0.831,0.3,3.3,3.6,2,1.2,0.5,1.4,3,13.2,"chrisdouglasroberts"
"95",121,"Zabian Dowdell\dowdeza01","PG",26,"PHO",24,0,292,6.3,15.4,0.408,0.4,1.2,0.3,5.9,14.2,0.417,2,2.1,0.941,0.6,1.8,2.5,6.3,2.5,0.2,3.6,3.7,14.9,"zabiandowdell"
"96",123,"Jared Dudley\dudleja01","SF",25,"PHO",82,15,2140,5,10.6,0.477,1.8,4.3,0.415,3.3,6.3,0.519,2.7,3.7,0.743,1.9,3.5,5.3,1.8,1.5,0.3,1.3,2.3,14.6,"jareddudley"
"97",124,"Chris Duhon\duhonch01","PG",28,"ORL",51,5,774,2.3,6,0.38,0.6,2.4,0.25,1.7,3.6,0.468,0.7,1.2,0.56,0.4,2,2.4,5.5,0.7,0.1,2.8,1.4,5.8,"chrisduhon"
"98",125,"Tim Duncan\duncati01","C",34,"SAS",76,76,2156,7,14,0.5,0,0.1,0,7,13.9,0.502,3.1,4.3,0.716,2.8,8.5,11.3,3.4,0.8,2.4,2,2,17.1,"timduncan"
"99",126,"Mike Dunleavy\dunlemi02","SG",30,"IND",61,44,1683,5.1,11.1,0.462,2.2,5.4,0.402,3,5.7,0.519,2.1,2.7,0.8,0.6,5.3,5.9,2.2,0.9,0.6,1.5,2.3,14.6,"mikedunleavy"
"100",127,"Ronald Dupree\duprero01","SF",30,"TOR",3,0,13,2.8,11.1,0.25,0,2.8,0,2.8,8.3,0.333,0,0,NA,0,8.3,8.3,2.8,0,0,0,5.5,5.5,"ronalddupree"
"101",128,"Kevin Durant\duranke01","SF",22,"OKC",78,78,3038,8.4,18.2,0.462,1.7,4.9,0.35,6.7,13.3,0.504,7,8,0.88,0.7,5.6,6.3,2.5,1,0.9,2.6,1.9,25.6,"kevindurant"
"102",129,"Devin Ebanks\ebankde01","SG",21,"LAL",20,0,118,6.4,15.6,0.412,0.6,1.5,0.4,5.8,14,0.413,5.5,7,0.783,4.6,3.7,8.2,0.6,1.2,1.5,1.8,2.1,18.9,"devinebanks"
"103",130,"Wayne Ellington\ellinwa01","SG",23,"MIN",62,8,1181,4.9,12.1,0.403,1.5,3.7,0.397,3.4,8.4,0.406,1.3,1.6,0.792,0.8,2.5,3.3,2.2,0.9,0.1,1.6,2.6,12.5,"wayneellington"
"104",131,"Monta Ellis\ellismo01","SG",25,"GSW",80,80,3227,8.1,18,0.451,1.5,4.2,0.361,6.6,13.7,0.478,3.8,4.8,0.789,0.5,2.6,3.1,5,1.9,0.3,2.8,2.3,21.5,"montaellis"
"105",132,"Francisco Elson\elsonfr01","C",34,"UTA",62,1,610,3.2,6.7,0.478,0,0,NA,3.2,6.7,0.478,1.5,1.8,0.839,2.1,4.7,6.8,1.9,1.2,0.8,1.9,5,7.9,"franciscoelson"
"106",133,"Melvin Ely\elyme01","C",32,"DEN",30,2,366,2.8,5,0.549,0,0,NA,2.8,5,0.549,1.3,2.1,0.619,2.7,4.6,7.3,1.4,0.4,1.1,1.4,4.9,6.8,"melvinely"
"107",135,"Jeremy Evans\evansje01","SF",23,"UTA",49,3,463,5.9,8.9,0.661,0,0.1,0,5.9,8.9,0.667,2,2.9,0.703,2.8,4.7,7.5,1.9,1.3,1.3,1.5,3.9,13.8,"jeremyevans"
"108",137,"Reggie Evans\evansre01","PF",30,"TOR",30,18,798,1.9,4.6,0.408,0,0,0,1.9,4.6,0.412,2.2,4,0.545,5.4,10.2,15.6,1.7,1.3,0.3,1.8,4,6,"reggieevans"
"109",138,"Tyreke Evans\evansty01","SG",21,"SAC",57,53,2107,6.5,15.9,0.409,0.7,2.5,0.291,5.8,13.4,0.432,3.5,4.5,0.771,0.8,3.9,4.7,5.5,1.5,0.5,3.1,2.4,17.3,"tyrekeevans"
"110",139,"Patrick Ewing\ewingpa02","SF",26,"NOH",7,0,19,0,9.5,0,0,3.8,0,0,5.7,0,5.7,7.6,0.75,1.9,1.9,3.8,3.8,0,1.9,1.9,1.9,5.7,"patrickewing"
"111",140,"Christian Eyenga\eyengch01","SF",21,"CLE",44,18,947,4.9,11.6,0.425,1,3.5,0.275,4,8.2,0.488,0.7,1.1,0.643,1,3.6,4.7,1.3,1.3,1.1,1.8,3,11.5,"christianeyenga"
