,last name,first name,position,team,year,average salary,name
291,Henry,Xavier,SG,NOP,2012,2171680,xavierhenry
292,Vasquez,Greivis,PG,NOP,2012,1372747,greivisvasquez
293,Mason,Roger,SG,NOP,2012,1229255,rogermason
294,Thomas,Lance,SF,NOP,2012,823244,lancethomas
295,Miller,Darius,SF,NOP,2012,631238,dariusmiller
296,Roberts,Brian,PG,NOP,2012,631238,brianroberts
297,Harris,Terrel,SG,NOP,2012,486982,terrelharris
298,Amundson,Louis,PF,NOP,2012,6291,louisamundson
299,Harris,Terrel,SG,NOP,2012,4484,terrelharris
300,Harris,Terrel,SG,NOP,2012,4484,terrelharris
301,Sloan,Donald,PG,NOP,2012,4484,donaldsloan
302,Sims,Henry,C,NOP,2012,2786,henrysims
303,Anthony,Carmelo,SF,NYK,2012,21388954,carmeloanthony
304,Stoudemire,Amar'e,PF,NYK,2012,19948799,amarestoudemire
305,Chandler,Tyson,C,NYK,2012,13852363,tysonchandler
306,Camby,Marcus,C,NYK,2012,4383773,marcuscamby
307,Novak,Steve,SF,NYK,2012,3750001,stevenovak
308,Felton,Raymond,PG,NYK,2012,3715383,raymondfelton
309,Kidd,Jason,PG,NYK,2012,3030000,jasonkidd
310,Smith,J.R.,SG,NYK,2012,2869597,jrsmith
311,Shumpert,Iman,SG,NYK,2012,1879324,imanshumpert
312,White,James,SG,NYK,2012,885244,jameswhite
313,Copeland,Chris,SF,NYK,2012,473604,chriscopeland
314,Prigioni,Pablo,PG,NYK,2012,473604,pabloprigioni
315,Martin,Kenyon,PF,NYK,2012,270436,kenyonmartin
316,Richardson,Quentin,PF,NYK,2012,15908,quentinrichardson
317,Martin,Kenyon,PF,NYK,2012,7954,kenyonmartin
318,Martin,Kenyon,PF,NYK,2012,7954,kenyonmartin
319,Barron,Earl,PF,NYK,2012,6743,earlbarron
320,Durant,Kevin,SF,OKC,2012,17832627,kevindurant
321,Westbrook,Russell,PG,OKC,2012,15719062,russellwestbrook
322,Martin,Kevin,SG,OKC,2012,10600005,kevinmartin
323,Perkins,Kendrick,C,OKC,2012,7850531,kendrickperkins
324,Sefolosha,Thabo,SF,OKC,2012,3512500,thabosefolosha
325,Collison,Nick,PF,OKC,2012,2757500,nickcollison
326,Lamb,Jeremy,SG,OKC,2012,2341929,jeremylamb
327,Ibaka,Serge,PF,OKC,2012,1466415,sergeibaka
328,Jackson,Reggie,PG,OKC,2012,1457363,reggiejackson
329,JonesIII,Perry,SF,OKC,2012,1321472,perryjonesiii
330,Thabeet,Hasheem,C,OKC,2012,1216667,hasheemthabeet
331,Brewer,Ronnie,SF,OKC,2012,1069509,ronniebrewer
332,Orton,Daniel,C,OKC,2012,917191,danielorton
333,Liggins,DeAndre,SG,OKC,2012,823244,deandreliggins
334,Fisher,Derek,PG,OKC,2012,413608,derekfisher
335,Arenas,Gilbert,SG,ORL,2012,20807922,gilbertarenas
336,Turkoglu,Hedo,SF,ORL,2012,10560000,hedoturkoglu
337,Nelson,Jameer,PG,ORL,2012,8400000,jameernelson
338,Afflalo,Arron,SG,ORL,2012,7342500,arronafflalo
339,Harrington,Al,PF,ORL,2012,6687400,alharrington
340,Udrih,Beno,PG,ORL,2012,6478600,benoudrih
341,Davis,Glen,PF,ORL,2012,6425000,glendavis
342,Harkless,Maurice,PF,ORL,2012,2080925,mauriceharkless
343,Vucevic,Nikola,C,ORL,2012,1977425,nikolavucevic
344,Harris,Tobias,PF,ORL,2012,1706649,tobiasharris
345,Nicholson,Andrew,PF,ORL,2012,1706648,andrewnicholson
346,O'Quinn,Kyle,C,ORL,2012,830996,kyleoquinn
347,Moore,E'Twaun,SG,ORL,2012,823244,etwaunmoore
348,Lamb,Doron,SG,ORL,2012,784705,doronlamb
349,Jones,DeQuan,SF,ORL,2012,473604,dequanjones
350,Brand,Elton,PF,PHI,2012,16060354,eltonbrand
351,Bynum,Andrew,C,PHI,2012,14300000,andrewbynum
352,Young,Thaddeus,PF,PHI,2012,8600000,thaddeusyoung
353,Hawes,Spencer,PF,PHI,2012,6550000,spencerhawes
354,Richardson,Jason,SG,PHI,2012,6000000,jasonrichardson
355,Young,Nick,SF,PHI,2012,5600000,nickyoung
356,Turner,Evan,SF,PHI,2012,5380877,evanturner
357,Wright,Dorell,SF,PHI,2012,3809667,dorellwright
358,Allen,LaVoy,PF,PHI,2012,3030000,lavoyallen
359,Brown,Kwame,C,PHI,2012,2882473,kwamebrown
360,Holiday,Jrue,PG,PHI,2012,1889465,jrueholiday
361,Ivey,Royal,PG,PHI,2012,1223166,royalivey
362,Wilkins,Damien,SG,PHI,2012,1223166,damienwilkins
363,Moultrie,Arnett,PF,PHI,2012,1089240,arnettmoultrie
364,Jenkins,Charles,PG,PHI,2012,617900,charlesjenkins
365,Holiday,Justin,SG,PHI,2012,418116,justinholiday
366,Mack,Shelvin,PG,PHI,2012,4484,shelvinmack
367,Mack,Shelvin,PG,PHI,2012,4484,shelvinmack
368,Pargo,Jermey,PG,PHI,2012,4484,jermeypargo
369,Wayns,Maalik,PG,PHI,2012,2786,maalikwayns
370,Dragic,Goran,PG,PHX,2012,7500000,gorandragic
371,Childress,Josh,SF,PHX,2012,7000000,joshchildress
372,Gortat,Marcin,C,PHX,2012,6790640,marcingortat
373,Frye,Channing,PF,PHX,2012,6000000,channingfrye
374,Beasley,Michael,SF,PHX,2012,6000000,michaelbeasley
375,Scola,Luis,PF,PHX,2012,4508504,luisscola
376,Dudley,Jared,PF,PHX,2012,4250000,jareddudley
377,Johnson,Wesley,SG,PHX,2012,4006080,wesleyjohnson
378,Brown,Shannon,PG,PHX,2012,3500000,shannonbrown
379,Morris,Markieff,PF,PHX,2012,2251450,markieffmorris
380,Morris,Marcus,PF,PHX,2012,2164795,marcusmorris
381,Marshall,Kendall,PG,PHX,2012,1962360,kendallmarshall
382,O'Neal,Jermaine,C,PHX,2012,1352181,jermaineoneal
383,Haddadi,Hamed,C,PHX,2012,1348750,hamedhaddadi
384,Tucker,P.J.,SF,PHX,2012,823244,pjtucker
385,Garrett,Diante,PG,PHX,2012,473604,diantegarrett
386,Roy,Brandon,SG,POR,2012,17174735,brandonroy
387,Aldridge,LaMarcus,PF,POR,2012,13000000,lamarcusaldridge
388,Batum,Nicolas,SG,POR,2012,11530375,nicolasbatum
