"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","fix"
"20",20,"Trevor Ariza\arizatr01","SF",26,"NOH",41,41,1350,4.5,10.7,0.417,0.8,2.3,0.333,3.7,8.4,0.44,2.1,2.7,0.775,1.1,4.6,5.7,3.6,1.8,0.7,2,1.9,11.8,"trevorariza"
"21",21,"Omer Asik\asikom01","C",25,"CHI",66,2,971,2.9,5.8,0.506,0,0,NA,2.9,5.8,0.506,1.7,3.8,0.456,4.7,8.3,13,1.2,1.1,2.5,2.5,4.5,7.6,"omerasik"
"22",22,"D.J. Augustin\augusdj01","PG",24,"CHA",48,46,1408,4.7,12.5,0.376,1.6,4.6,0.341,3.1,7.9,0.396,2.7,3.1,0.875,0.6,2.2,2.8,7.8,0.9,0,2.8,1.7,13.6,"djaugustin"
"23",23,"Gustavo Ayon\ayongu01","PF",26,"NOH",54,24,1088,4.6,8.6,0.536,0,0,0,4.6,8.6,0.538,1.3,2.1,0.619,2.8,5.9,8.8,2.4,1.8,1.5,1.5,3.9,10.6,"gustavoayon"
"24",24,"Jeff Ayres\pendeje02","C",24,"IND",20,1,106,5.1,12.2,0.417,0,0,NA,5.1,12.2,0.417,1.4,2.4,0.571,4.1,7.1,11.2,1.4,1,0.7,0.7,5.4,11.5,"jeffayres"
"25",25,"Kelenna Azubuike\azubuke01","SG",28,"DAL",3,0,18,6,16,0.375,2,6,0.333,4,10,0.4,0,0,NA,0,0,0,0,2,0,8,2,14,"kelennaazubuike"
"26",26,"Luke Babbitt\babbilu01","SF",22,"POR",40,4,537,4.8,11.6,0.41,2.9,6.7,0.43,1.9,4.9,0.384,1.1,1.3,0.85,1.1,5.3,6.4,1.1,0.7,0.3,1.8,3.1,13.5,"lukebabbitt"
"27",27,"Renaldo Balkman\balkmre01","SF",27,"NYK",14,0,115,5,10,0.5,0.6,2.8,0.222,4.4,7.2,0.609,2.5,3.4,0.727,1.9,6.3,8.1,1.6,1.3,0.9,1.9,4.4,13.1,"renaldobalkman"
"28",29,"J.J. Barea\bareajo01","PG",27,"MIN",41,11,1032,5.8,14.6,0.4,1.8,5,0.371,4,9.6,0.415,2.7,3.4,0.776,0.5,3.5,4,8.1,0.7,0,3.6,2.1,16.2,"jjbarea"
"29",30,"Andrea Bargnani\bargnan01","C",26,"TOR",31,31,1032,7.3,16.9,0.432,1.2,4,0.296,6.1,12.9,0.474,5.3,6,0.873,0.8,5.2,6,2.1,0.6,0.5,2.4,1.8,21,"andreabargnani"
"30",31,"Matt Barnes\barnema02","SF",31,"LAL",63,16,1440,4.4,9.7,0.452,1.1,3.4,0.333,3.2,6.2,0.518,2.4,3.2,0.742,2.4,6.2,8.6,3.2,0.9,1.2,1.8,3.8,12.3,"mattbarnes"
"31",32,"Earl Barron\barroea01","C",30,"GSW",2,0,9,8,16,0.5,0,0,NA,8,16,0.5,0,0,NA,4,0,4,0,0,0,0,20,16,"earlbarron"
"32",33,"Brandon Bass\bassbr01","PF",26,"BOS",59,39,1868,5.8,12.2,0.479,0,0,NA,5.8,12.2,0.479,2.5,3.1,0.81,1.8,5.2,7,1.1,0.7,1,1.3,2.6,14.2,"brandonbass"
"33",34,"Tony Battie\battito01","C",35,"PHI",27,11,295,2.3,6.2,0.373,0,0.1,0,2.3,6.1,0.38,0.5,0.5,1,1,7.2,8.2,2,0.5,0.7,0.5,3.2,5.1,"tonybattie"
"34",35,"Shane Battier\battish01","SF",33,"MIA",65,10,1499,2.7,7,0.387,1.5,4.4,0.339,1.2,2.6,0.468,0.6,0.9,0.622,1.3,2.4,3.7,2,1.5,0.8,0.9,2.5,7.5,"shanebattier"
"35",36,"Nicolas Batum\batumni01","SF",23,"POR",59,34,1791,5.8,12.9,0.451,2.2,5.5,0.391,3.7,7.4,0.496,2.7,3.2,0.836,1.6,3.8,5.4,1.7,1.1,1.2,1.8,2.1,16.4,"nicolasbatum"
"36",37,"Jerryd Bayless\bayleje01","PG",23,"TOR",31,11,705,6,14.1,0.424,2.2,5.3,0.423,3.7,8.8,0.424,3.8,4.5,0.852,0.4,3,3.4,6,1.2,0.2,2.7,3.6,18,"jerrydbayless"
"37",38,"Michael Beasley\beaslmi01","SF",23,"MIN",47,7,1087,7.3,16.5,0.445,1.3,3.3,0.376,6.1,13.1,0.462,2,3.1,0.642,1.3,5.6,6.9,1.5,0.6,0.6,2.6,2.7,17.9,"michaelbeasley"
"38",39,"Rodrigue Beaubois\beaubro01","PG",23,"DAL",53,12,1151,5.9,13.9,0.422,1.2,4.1,0.288,4.7,9.8,0.479,1.8,2.2,0.841,0.6,4.1,4.7,4.8,1.8,0.9,2.2,3.1,14.8,"rodriguebeaubois"
"39",40,"Marco Belinelli\belinma01","SG",25,"NOH",66,55,1966,5.2,12.6,0.417,2,5.2,0.377,3.3,7.4,0.445,1.8,2.4,0.783,0.3,2.8,3.1,1.8,0.9,0.1,1.3,2.1,14.3,"marcobelinelli"
"40",41,"Raja Bell\bellra01","SG",35,"UTA",34,33,796,3.7,7.9,0.466,1.5,3.9,0.391,2.1,3.9,0.54,0.9,1.1,0.84,0.3,1.9,2.2,1.7,0.6,0.1,0.9,3.5,9.8,"rajabell"
"41",42,"Keith Benson\bensoke02","C",23,"GSW",3,0,9,0,4,0,0,0,NA,0,4,0,0,0,NA,8,4,12,0,0,0,0,0,0,"keithbenson"
"42",43,"Mike Bibby\bibbymi01","PG",33,"NYK",39,4,557,2.3,8,0.282,1.7,5.5,0.318,0.5,2.5,0.205,0.4,0.5,0.75,0.3,3.5,3.8,5.2,1.4,0.2,1.3,2.9,6.7,"mikebibby"
"43",44,"Andris Biedrins\biedran01","C",25,"GSW",47,35,739,1.9,3.1,0.609,0,0,NA,1.9,3.1,0.609,0,0.4,0.111,2.2,6.4,8.6,0.8,1.1,2.2,0.7,6.1,3.8,"andrisbiedrins"
"44",45,"Chauncey Billups\billuch01","SG",35,"LAC",20,20,607,4.9,13.5,0.364,2.8,7.4,0.384,2.1,6.1,0.34,5,5.6,0.895,0.2,2.7,3,4.7,0.5,0.2,2.3,2.4,17.7,"chaunceybillups"
"45",46,"Bismack Biyombo\biyombi01","C",19,"CHA",63,41,1455,3.2,6.9,0.464,0,0,NA,3.2,6.9,0.464,1.7,3.5,0.483,2.8,6.3,9.1,0.7,0.5,2.8,1.8,3.6,8.1,"bismackbiyombo"
"46",47,"DeJuan Blair\blairde01","PF",22,"SAS",64,62,1363,7.1,13.3,0.534,0,0,0,7.1,13.3,0.535,1.9,3.1,0.613,4.1,5.2,9.3,2.1,1.6,0.3,2.4,4.4,16.1,"dejuanblair"
"47",48,"Steve Blake\blakest01","PG",31,"LAL",53,5,1237,2.9,7.8,0.377,1.5,4.6,0.335,1.4,3.2,0.436,0.6,0.8,0.778,0.3,2.2,2.5,5.1,1.1,0.1,2.1,2.2,8,"steveblake"
"48",49,"Andray Blatche\blatcan01","PF",25,"WAS",26,13,626,5.3,14.1,0.38,0.1,0.4,0.286,5.2,13.7,0.382,1.9,2.8,0.673,2.4,6.2,8.6,1.6,1.2,1,2.1,3.1,12.7,"andrayblatche"
"49",50,"Eric Bledsoe\bledser01","PG",22,"LAC",40,1,464,3.8,9.8,0.389,0.5,2.3,0.2,3.3,7.4,0.448,2.2,3.4,0.636,1.7,3.3,5,5.1,2.4,1.1,3.6,4.5,10.2,"ericbledsoe"
"50",51,"Keith Bogans\boganke01","SF",31,"NJN",5,1,94,3.1,8,0.381,1.1,4.6,0.25,1.9,3.4,0.556,0.8,1.9,0.4,1.9,2.3,4.2,1.1,0.8,0,1.1,5.7,8,"keithbogans"
"51",52,"Andrew Bogut\bogutan01","C",27,"MIL",12,12,364,6,13.5,0.449,0,0.1,0,6,13.4,0.452,1.4,2.3,0.609,2.2,7.7,9.9,3.1,1.2,2.4,2.4,3.6,13.5,"andrewbogut"
"52",53,"Matt Bonner\bonnema01","PF",31,"SAS",65,2,1326,4.2,9.5,0.44,2.9,6.8,0.42,1.3,2.7,0.49,0.4,0.6,0.762,0.8,5,5.8,1.7,0.4,0.6,0.4,1.8,11.6,"mattbonner"
"53",54,"Trevor Booker\booketr01","PF",24,"WAS",50,32,1261,5.2,9.7,0.531,0,0.1,0.5,5.1,9.7,0.531,1.6,2.7,0.602,3.4,5.9,9.3,1.1,1.4,1.2,1.7,3.9,12,"trevorbooker"
"54",55,"Carlos Boozer\boozeca01","PF",30,"CHI",66,66,1948,8.3,15.6,0.532,0,0,0,8.3,15.5,0.533,1.8,2.5,0.693,2.1,8.3,10.4,2.3,1.2,0.4,2.1,3.1,18.3,"carlosboozer"
"55",56,"Chris Bosh\boshch01","PF",27,"MIA",57,57,2007,7,14.5,0.487,0.2,0.6,0.286,6.9,13.8,0.496,4.1,5,0.821,1.7,6.4,8.1,1.8,0.9,0.8,2.1,2.3,18.4,"chrisbosh"
"56",57,"Earl Boykins\boykiea01","PG",35,"HOU",8,0,111,3.9,11.7,0.333,0.6,2.9,0.222,3.2,8.8,0.37,4.2,4.9,0.867,0,3.6,3.6,5.5,0.3,0,2.3,1.6,12.6,"earlboykins"
"57",58,"Craig Brackins\brackcr01","PF",24,"PHI",14,1,88,3.7,13.5,0.273,1.2,3.7,0.333,2.5,9.8,0.25,0.4,0.8,0.5,2,4.1,6.1,3.3,0,0.4,1.6,2.5,9,"craigbrackins"
"58",59,"Avery Bradley\bradlav01","PG",21,"BOS",64,28,1368,5.3,10.6,0.498,0.6,1.4,0.407,4.7,9.2,0.511,1.6,2.1,0.795,0.9,2.1,3,2.3,1.1,0.3,2,2.9,12.7,"averybradley"
"59",60,"Elton Brand\brandel01","C",32,"PHI",60,60,1732,6,12.1,0.494,0,0,0,6,12.1,0.495,1.8,2.4,0.733,3,5.9,8.9,2,1.2,2,1.4,3.7,13.7,"eltonbrand"
"60",61,"Corey Brewer\breweco01","SF",25,"DEN",59,17,1287,5.6,13,0.434,0.9,3.6,0.26,4.7,9.4,0.5,2.5,3.6,0.692,1.2,3,4.2,2.5,2,0.5,1.6,3.2,14.7,"coreybrewer"
"61",62,"Ronnie Brewer\brewero02","SG",26,"CHI",66,43,1635,4.2,9.8,0.427,0.4,1.5,0.275,3.8,8.3,0.455,1.2,2.2,0.56,1.6,3.5,5.1,3,1.6,0.5,1.3,1.4,10,"ronniebrewer"
"62",63,"Jon Brockman\brockjo01","PF",24,"MIL",35,0,239,2.3,6.8,0.333,0,0.2,0,2.3,6.6,0.341,1.1,2.3,0.467,5,6.3,11.3,1.4,0.6,0.2,1.5,5,5.6,"jonbrockman"
"63",64,"MarShon Brooks\brookma01","SG",23,"NJN",56,47,1648,6,14,0.428,1,3.3,0.313,5,10.7,0.463,2.5,3.2,0.764,1.5,2.8,4.4,2.9,1.1,0.3,2.6,2.5,15.5,"marshonbrooks"
"64",65,"Derrick Brown\brownde04","SF",24,"CHA",65,17,1443,5.3,10.2,0.518,0.1,0.6,0.25,5.1,9.6,0.535,2.3,3.5,0.667,2.4,3.5,5.9,1.7,1.2,0.3,1.4,2.4,13.1,"derrickbrown"
"65",66,"Kwame Brown\brownkw01","C",29,"GSW",9,3,187,4,7.7,0.525,0,0,NA,4,7.7,0.525,2.9,6.5,0.441,3.1,7.9,11,0.8,1.5,0,2.7,4,11,"kwamebrown"
"66",67,"Shannon Brown\brownsh01","SG",26,"PHO",59,19,1400,6.5,15.4,0.42,1.7,4.8,0.362,4.7,10.5,0.446,2.1,2.5,0.808,1,3.1,4,1.8,1.1,0.4,1.6,1.7,16.7,"shannonbrown"
"67",68,"Kobe Bryant\bryanko01","SG",33,"LAL",58,58,2232,9.3,21.5,0.43,1.4,4.6,0.303,7.9,16.9,0.464,6.1,7.3,0.845,1.1,4,5,4.3,1.1,0.3,3.3,1.7,26.1,"kobebryant"
"68",69,"Chase Budinger\budinch01","SF",23,"HOU",58,9,1298,5.8,13.1,0.442,2.4,6.1,0.402,3.3,7,0.476,1.5,1.9,0.771,1.1,5,6,2.1,0.8,0.2,1.5,1.8,15.5,"chasebudinger"
"69",70,"Alec Burks\burksal01","SG",20,"UTA",59,0,939,5.9,13.7,0.429,0.6,1.7,0.333,5.3,12,0.442,4,5.5,0.727,2.2,2.9,5.1,2.1,1,0.2,2,3.2,16.3,"alecburks"
"70",71,"Caron Butler\butleca01","SF",31,"LAC",63,63,1871,5.5,13.6,0.407,1.8,4.9,0.358,3.8,8.6,0.435,1.7,2.1,0.813,0.8,3.6,4.4,1.5,1,0.2,1.5,2.4,14.5,"caronbutler"
"71",72,"Jimmy Butler\butleji01","SG",22,"CHI",42,0,359,3.2,7.9,0.405,0.2,1.1,0.182,3,6.8,0.441,4.3,5.6,0.768,2.3,3.3,5.6,1.4,1.1,0.5,1.4,2,10.9,"jimmybutler"
"72",73,"Rasual Butler\butlera01","SF",32,"TOR",34,14,453,3.3,10.6,0.308,1.7,6.1,0.273,1.6,4.5,0.357,0.6,1,0.583,0.5,4.8,5.2,1.5,0.6,0.4,1.2,3.1,8.7,"rasualbutler"
"73",74,"Derrick Byars\byarsde01","PF",27,"SAS",2,0,37,2.9,10.7,0.273,0,5.8,0,2.9,4.9,0.6,3.9,3.9,1,5.8,4.9,10.7,1,1.9,0,0,1.9,9.7,"derrickbyars"
"74",75,"Andrew Bynum\bynuman01","C",24,"LAL",60,60,2112,7.6,13.6,0.558,0,0.1,0.2,7.6,13.5,0.56,4,5.8,0.692,3.3,8.8,12.1,1.4,0.5,2,2.6,1.8,19.1,"andrewbynum"
"75",76,"Will Bynum\bynumwi01","PG",29,"DET",36,0,514,5.2,13.6,0.381,0.5,2,0.241,4.7,11.6,0.406,3.4,4.5,0.766,0.7,3.2,3.9,4.6,1.6,0.2,3.8,4.3,14.3,"willbynum"
"76",77,"Jose Calderon\caldejo01","PG",30,"TOR",53,53,1799,4.4,9.5,0.457,1.2,3.2,0.371,3.2,6.4,0.5,1.2,1.4,0.882,0.4,2.8,3.2,9.4,0.9,0.1,2.1,1.9,11.1,"josecalderon"
"77",79,"Brian Cardinal\cardibr01","SF",34,"DAL",44,0,277,1.8,7.1,0.255,1.3,6.4,0.204,0.5,0.8,0.667,0.6,0.8,0.833,0.5,3.9,4.4,2.1,1,0.3,1,4.9,5.6,"briancardinal"
"78",81,"Matt Carroll\carroma01","SG",31,"CHA",53,2,596,3.1,9.5,0.331,0.5,2.6,0.186,2.7,6.9,0.386,1.8,2.3,0.789,0.5,3,3.5,2.3,1,0.4,1.4,3.1,8.6,"mattcarroll"
"79",82,"Anthony Carter\cartean01","PG",36,"TOR",24,0,209,2.9,9.1,0.321,0.9,2.9,0.294,2.1,6.2,0.333,1.4,1.7,0.8,0.9,4.8,5.7,5.9,1.4,0.7,2.9,3.4,8.1,"anthonycarter"
"80",83,"Vince Carter\cartevi01","SG",35,"DAL",61,40,1542,5.2,12.7,0.411,1.7,4.8,0.361,3.5,7.9,0.442,2.2,2.7,0.826,0.7,4,4.8,3.2,1.3,0.6,2,3.1,14.4,"vincecarter"
"81",84,"Omri Casspi\casspom01","SF",23,"CLE",65,35,1341,4.5,11.1,0.403,1.4,4.5,0.315,3,6.6,0.463,2,2.9,0.685,1.7,4.4,6.1,1.8,1,0.6,1.7,3.1,12.3,"omricasspi"
"82",85,"Mario Chalmers\chalmma01","PG",25,"MIA",64,64,1825,4.4,9.8,0.448,2,5.1,0.388,2.4,4.7,0.513,1.6,2,0.792,0.3,3.1,3.4,4.4,1.9,0.2,2.8,3.3,12.4,"mariochalmers"
"83",86,"Tyson Chandler\chandty01","C",29,"NYK",62,62,2061,4.2,6.2,0.679,0,0,0,4.2,6.2,0.683,3.8,5.5,0.689,3.7,7,10.7,1,1,1.6,1.8,3.2,12.2,"tysonchandler"
"84",87,"Wilson Chandler\chandwi01","SF",24,"DEN",8,6,215,5.2,13.2,0.392,0.5,2,0.25,4.7,11.2,0.418,1.7,2,0.833,1,5.9,6.9,2.8,1,1,3,3,12.6,"wilsonchandler"
"85",88,"Josh Childress\childjo01","SF",28,"PHO",34,0,491,3.5,7.3,0.485,0.3,1.8,0.167,3.2,5.5,0.587,0,0.1,0,2.3,4.7,7,2.5,1,0.4,0.7,2.8,7.3,"joshchildress"
"86",89,"Earl Clark\clarkea01","PF",24,"ORL",45,1,559,3.3,9,0.367,0,0,NA,3.3,9,0.367,1.4,1.9,0.724,2.3,5.7,8,1.2,0.8,2.1,1.6,4.6,7.9,"earlclark"
"87",90,"Norris Cole\coleno01","PG",23,"MIA",65,2,1260,5.1,12.9,0.393,0.6,2.2,0.276,4.5,10.7,0.417,1.9,2.4,0.776,0.6,2,2.6,3.8,1.3,0.1,3,3.5,12.6,"norriscole"
"88",91,"Jason Collins\collija04","C",33,"ATL",30,10,308,1.9,4.7,0.4,0,0,NA,1.9,4.7,0.4,0.8,1.8,0.467,1.4,4.2,5.6,1.2,0.5,0.4,1.2,4,4.6,"jasoncollins"
"89",92,"Darren Collison\collida01","PG",24,"IND",60,56,1878,4.4,10,0.44,0.7,1.8,0.362,3.8,8.2,0.457,2.4,2.9,0.83,0.6,3,3.6,5.5,0.9,0.3,2.2,1.9,11.9,"darrencollison"
"90",93,"Nick Collison\collini01","PF",31,"OKC",63,0,1307,3.3,5.5,0.597,0,0,0,3.3,5.5,0.6,1.2,1.7,0.71,3.3,4.3,7.5,2.3,0.9,0.8,1.7,4.2,7.8,"nickcollison"
"91",94,"Mike Conley\conlemi01","PG",24,"MEM",62,61,2174,4.9,11.3,0.433,1,2.6,0.377,3.9,8.7,0.45,2.3,2.6,0.861,0.4,2.2,2.6,6.7,2.3,0.2,2.1,2.2,13,"mikeconley"
"92",96,"Daequan Cook\cookda02","SG",24,"OKC",57,22,989,4,10.8,0.368,2.9,8.3,0.346,1.1,2.5,0.441,0.5,0.8,0.636,0.4,4,4.4,0.5,0.8,0.4,0.6,2.5,11.3,"daequancook"
"93",97,"DeMarcus Cousins\couside01","C",21,"SAC",64,62,1950,8.3,18.4,0.448,0,0.3,0.143,8.2,18.2,0.453,4.8,6.9,0.702,4.9,8.1,13,1.9,1.7,1.4,3.1,4.7,21.4,"demarcuscousins"
"94",98,"Jamal Crawford\crawfja01","PG",31,"POR",60,6,1613,6.3,16.4,0.384,1.8,5.8,0.308,4.5,10.6,0.426,4.3,4.6,0.927,0.4,2.3,2.6,4.3,1.2,0.3,2.5,1.7,18.7,"jamalcrawford"
"95",99,"Jordan Crawford\crawfjo02","SG",23,"WAS",64,32,1753,7.2,17.9,0.4,1.6,5.6,0.289,5.5,12.3,0.451,3.3,4.2,0.793,0.9,2.5,3.5,3.9,1.2,0.1,2.9,2.3,19.3,"jordancrawford"
"96",100,"Dante Cunningham\cunnida01","PF",24,"MEM",64,5,1124,4.6,8.9,0.516,0,0.1,0,4.6,8.9,0.52,1.4,2.2,0.652,2.9,5,7.9,1.2,1.3,1.1,0.9,3.1,10.7,"dantecunningham"
"97",101,"Eddy Curry\curryed01","C",29,"MIA",14,1,83,5.2,11.3,0.462,0,0,NA,5.2,11.3,0.462,2.6,3.5,0.75,1.7,3.5,5.2,0.4,0,0.9,4.3,7.4,13,"eddycurry"
"98",102,"Stephen Curry\curryst01","PG",23,"GSW",26,23,732,7.1,14.6,0.49,2.7,6,0.455,4.4,8.6,0.514,1.9,2.3,0.809,0.7,3.6,4.3,6.8,1.9,0.4,3.2,3,18.8,"stephencurry"
"99",103,"Samuel Dalembert\dalemsa01","C",30,"HOU",65,45,1446,5,9.8,0.506,0,0,0,5,9.8,0.508,2.2,2.8,0.796,3.9,7.4,11.4,0.8,0.9,2.8,2,4,12.2,"samueldalembert"
"100",104,"Erick Dampier\dampier01","C",36,"ATL",15,0,83,0.4,3.5,0.125,0,0,NA,0.4,3.5,0.125,0,0,NA,4.3,6.5,10.8,1.7,0.4,1.7,1.3,3.9,0.9,"erickdampier"
"101",105,"Marquis Daniels\daniema01","SG",31,"BOS",38,0,484,3.9,10.6,0.364,0,0.7,0,3.9,9.9,0.391,1.3,1.7,0.739,1.2,3.7,4.9,3.5,1.6,0.7,2.1,2.7,9,"marquisdaniels"
"102",106,"Baron Davis\davisba01","PG",32,"NYK",29,14,595,4.1,11.1,0.37,1.6,5.1,0.306,2.5,6,0.424,1,1.5,0.667,0.8,2.6,3.4,8.2,2.1,0.2,4.6,3.7,10.8,"barondavis"
"103",107,"Ed Davis\davised01","PF",22,"TOR",66,9,1534,4,7.9,0.513,0,0,0,4,7.8,0.515,1.7,2.5,0.67,3.1,7.1,10.3,1.4,0.9,1.5,1.6,3.7,9.7,"eddavis"
"104",108,"Glen Davis\davisgl01","PF",26,"ORL",61,13,1427,5.7,13.5,0.421,0.1,0.4,0.143,5.6,13.1,0.429,2.9,4.2,0.683,2.7,5.7,8.4,1.2,1.1,0.5,1.9,2.7,14.3,"glendavis"
"105",109,"Josh Davis\davisjo02","PF",31,"MEM",15,0,130,2.8,7.5,0.37,1.1,3.6,0.308,1.7,3.9,0.429,1.1,2.2,0.5,4.4,3,7.5,1.7,1.9,0.3,0.8,5.3,7.8,"joshdavis"
"106",110,"Eric Dawson\dawsoer01","C",27,"SAS",4,0,39,6.5,11.1,0.583,0,0,NA,6.5,11.1,0.583,0.9,1.8,0.5,4.6,4.6,9.2,0,0.9,1.8,2.8,5.5,13.8,"ericdawson"
"107",111,"Austin Daye\dayeau01","SF",23,"DET",41,4,603,4.4,13.6,0.322,0.8,3.7,0.21,3.6,9.9,0.364,2.1,2.6,0.814,0.8,4.6,5.4,2,1.3,1.3,2.4,3.7,11.6,"austindaye"
"108",112,"Carlos Delfino\delfica01","SF",29,"MIL",54,53,1537,4.3,10.6,0.402,2,5.6,0.36,2.2,5,0.449,0.9,1.1,0.792,0.5,4.4,4.9,2.9,1.9,0.2,1.5,2.3,11.4,"carlosdelfino"
"109",113,"Luol Deng\denglu01","SF",26,"CHI",54,54,2129,5.3,12.8,0.412,1.3,3.6,0.367,3.9,9.1,0.43,2.1,2.8,0.77,1.3,4.6,5.9,2.7,0.9,0.6,1.6,1.4,14,"luoldeng"
"110",115,"DeMar DeRozan\derozde01","SG",22,"TOR",63,63,2206,6.2,14.7,0.422,0.4,1.5,0.261,5.8,13.2,0.44,4.4,5.4,0.81,0.7,2.8,3.4,2.1,0.8,0.3,2,2.6,17.2,"demarderozan"
"111",117,"Ike Diogu\dioguik01","PF",28,"SAS",2,0,14,0,5.1,0,0,0,NA,0,5.1,0,5.1,5.1,1,0,2.6,2.6,0,0,0,2.6,2.6,5.1,"ikediogu"
"112",118,"DeSagana Diop\diopde01","C",30,"CHA",27,9,325,1.7,4.7,0.357,0,0,NA,1.7,4.7,0.357,0.1,0.7,0.167,3.7,5.8,9.4,2.5,0.7,1.4,2.1,4,3.4,"desaganadiop"
