"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","fix"
"93",98,"Robert Covington\covinro01","SF",25,"PHI",67,49,28.4,4.1,10.6,0.385,2.5,7.2,0.353,1.6,3.4,0.452,0.504,2.1,2.6,0.791,1,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8,"robertcovington"
"94",99,"Allen Crabbe\crabbal01","SG",23,"POR",81,8,26,3.8,8.4,0.459,1.4,3.5,0.393,2.5,4.9,0.506,0.541,1.2,1.4,0.867,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,10.3,"allencrabbe"
"95",100,"Jamal Crawford\crawfja01","SG",35,"LAC",79,5,26.9,4.8,11.9,0.404,1.5,4.4,0.34,3.3,7.5,0.44,0.466,3.1,3.4,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2,"jamalcrawford"
"96",101,"Jae Crowder\crowdja01","SF",25,"BOS",73,73,31.6,4.9,11.1,0.443,1.7,5,0.336,3.3,6.2,0.529,0.518,2.7,3.3,0.82,1,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2,"jaecrowder"
"97",102,"Dante Cunningham\cunnida01","SF",28,"NOP",80,46,24.6,2.3,5.2,0.451,0.7,2.2,0.316,1.6,3,0.55,0.518,0.7,1,0.695,0.7,2.2,3,1,0.5,0.4,0.5,2.2,6.1,"dantecunningham"
"98",104,"Seth Curry\curryse01","PG",25,"SAC",44,9,15.7,2.3,5.1,0.455,1.1,2.5,0.45,1.2,2.6,0.46,0.567,1,1.2,0.833,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,6.8,"sethcurry"
"99",105,"Stephen Curry\curryst01","PG",27,"GSW",79,79,34.2,10.2,20.2,0.504,5.1,11.2,0.454,5.1,9,0.566,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2,30.1,"stephencurry"
"100",106,"Troy Daniels\danietr01","SG",24,"CHO",43,0,11.1,2.1,4.3,0.476,1.4,2.8,0.484,0.7,1.5,0.462,0.634,0.1,0.2,0.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6,"troydaniels"
"101",107,"Anthony Davis\davisan02","C",22,"NOP",61,61,35.5,9.2,18.6,0.493,0.6,1.8,0.324,8.6,16.9,0.511,0.508,5.3,7,0.758,2.1,8.1,10.3,1.9,1.3,2,2,2.4,24.3,"anthonydavis"
"102",108,"Ed Davis\davised01","PF",26,"POR",81,0,20.8,2.5,4.2,0.611,0,0,NA,2.5,4.2,0.611,0.611,1.4,2.5,0.559,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5,"eddavis"
"103",109,"Branden Dawson\dawsobr01","PF",22,"LAC",6,0,4.8,0.3,0.8,0.4,0,0,NA,0.3,0.8,0.4,0.4,0.2,0.2,1,0.3,0.3,0.7,0,0,0.2,0,0.3,0.8,"brandendawson"
"104",110,"Dewayne Dedmon\dedmode01","C",26,"ORL",58,20,12.2,1.7,3.1,0.559,0,0,NA,1.7,3.1,0.559,0.559,1,1.3,0.75,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4,"dewaynededmon"
"105",111,"Bryce Dejean-Jones\dejeabr01","SG",23,"NOP",14,11,19.9,2,4.9,0.406,0.9,2.3,0.375,1.1,2.6,0.432,0.493,0.8,1.5,0.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6,"brycedejeanjones"
"106",112,"Sam Dekker\dekkesa01","SF",21,"HOU",3,0,2,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0.3,0.3,0,0.3,0,0,0,0,"samdekker"
