"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","X","ORtg","DRtg","fix"
"135",146,"Danilo Gallinari\gallida01","SF",27,"DEN",53,53,1839,7.8,19.1,0.41,2.4,6.5,0.364,5.5,12.6,0.434,10.2,11.8,0.868,1.4,6.2,7.7,3.7,1.1,0.5,2.1,2.4,28.2,NA,120,111,"danilogallinari"
"136",147,"Langston Galloway\gallola01","PG",24,"NYK",82,7,2033,5.8,14.9,0.393,1.9,5.7,0.344,3.9,9.2,0.423,2.2,2.9,0.754,1.1,6.2,7.3,5.2,1.9,0.6,1.5,4.5,15.8,NA,105,108,"langstongalloway"
"137",148,"Kevin Garnett\garneke01","PF",39,"MIN",38,38,556,4.9,10.4,0.47,0,0.1,0,4.9,10.3,0.474,1.3,1.9,0.667,1.4,12.2,13.6,5.6,2.5,0.9,1.5,6.3,11.1,NA,107,105,"kevingarnett"
"138",149,"Marc Gasol\gasolma01","C",31,"MEM",52,52,1791,9.4,20.3,0.464,0.1,0.1,0.667,9.4,20.2,0.463,5.8,7,0.829,1.7,8.7,10.4,5.6,1.4,2,3.4,4.1,24.7,NA,105,106,"marcgasol"
"139",150,"Pau Gasol\gasolpa01","C",35,"CHI",72,72,2291,10.2,21.8,0.469,0.5,1.5,0.348,9.7,20.3,0.478,5,6.3,0.792,3.4,14,17.4,6.4,0.9,3.2,3.6,3.2,26,NA,107,101,"paugasol"
"140",151,"Rudy Gay\gayru01","SF",29,"SAC",70,70,2379,9.4,20.3,0.463,1.5,4.3,0.344,7.9,16,0.495,4,5.1,0.78,2.1,7.1,9.2,2.4,2,1,2.8,3.7,24.3,NA,104,108,"rudygay"
"141",152,"Alonzo Gee\geeal01","SF",28,"NOP",73,38,1632,4,7.7,0.518,0.5,1.8,0.283,3.5,5.9,0.59,1.3,2,0.667,1.8,5.6,7.4,2.2,1.9,0.4,1.7,5.1,9.9,NA,108,110,"alonzogee"
"142",153,"Paul George\georgpa01","SF",25,"IND",81,81,2819,10.7,25.5,0.418,3.7,10,0.371,7,15.6,0.447,8,9.3,0.86,1.4,8.5,9.9,5.8,2.7,0.5,4.7,4.1,33,NA,106,101,"paulgeorge"
"143",154,"Taj Gibson\gibsota01","PF",30,"CHI",73,55,1936,6.8,12.9,0.526,0,0.1,0,6.8,12.9,0.529,2.6,3.8,0.692,5.3,7.7,13.1,2.7,1.2,2,2,4.7,16.2,NA,115,106,"tajgibson"
"144",155,"Manu Ginobili\ginobma01","SG",38,"SAS",58,0,1134,8.9,19.6,0.453,3.2,8.1,0.391,5.7,11.6,0.496,4.1,5.1,0.813,1.2,5.4,6.6,8,3,0.5,4.5,4.5,25.1,NA,107,98,"manuginobili"
"145",156,"Rudy Gobert\goberru01","C",23,"UTA",61,60,1932,5.4,9.7,0.559,0,0,NA,5.4,9.7,0.559,4.4,7.7,0.569,5.7,12.6,18.2,2.5,1.2,3.7,3.1,4.5,15.2,NA,112,99,"rudygobert"
"146",157,"Drew Gooden\goodedr01","PF",34,"WAS",30,0,305,5.3,16.5,0.32,1.1,6.6,0.171,4.2,9.9,0.419,1.4,2.2,0.643,4.5,9.1,13.6,2.1,1.3,1.8,2.1,6.4,13.1,NA,85,104,"drewgooden"
"147",158,"Archie Goodwin\goodwar01","PG",21,"PHO",57,13,1114,7.7,18.5,0.417,1,4.3,0.232,6.7,14.1,0.474,5.7,8.4,0.674,1.2,5,6.2,5.2,1.2,0.6,4.4,3.7,22.1,NA,95,111,"archiegoodwin"
"148",159,"Aaron Gordon\gordoaa01","PF",20,"ORL",78,37,1863,7.4,15.5,0.473,1.1,3.8,0.296,6.2,11.7,0.531,3.5,5.2,0.668,4.1,9.5,13.6,3.4,1.6,1.5,1.8,4.1,19.3,NA,114,105,"aarongordon"
"149",160,"Eric Gordon\gordoer01","SG",27,"NOP",45,44,1481,7.7,18.5,0.418,3.8,9.8,0.384,4,8.6,0.457,3.7,4.2,0.888,0.3,3,3.3,4.1,1.4,0.5,2.4,3.3,23,NA,108,113,"ericgordon"
"150",161,"Marcin Gortat\gortama01","C",31,"WAS",75,74,2256,9.4,16.5,0.567,0,0,0,9.4,16.5,0.567,3.2,4.5,0.705,4.8,11.2,16,2.3,1,2.1,2.6,4.2,21.9,NA,114,104,"marcingortat"
"151",162,"Andrew Goudelock\goudean01","PG",27,"HOU",8,0,50,8.9,19.7,0.45,1,8.9,0.111,7.9,10.8,0.727,3,3.9,0.75,1,1,2,3.9,5.9,2,6.9,3.9,21.6,NA,83,103,"andrewgoudelock"
"152",163,"Jerami Grant\grantje01","SF",21,"PHI",77,52,2066,6,14.2,0.419,0.8,3.5,0.24,5.1,10.7,0.477,5,7.6,0.658,2.3,6.2,8.6,3.2,1.3,3,2.6,5.1,17.8,NA,100,108,"jeramigrant"
"153",164,"Jerian Grant\grantje02","PG",23,"NYK",76,6,1265,6.3,15.9,0.394,0.9,4.1,0.22,5.4,11.8,0.454,3.9,5,0.78,0.9,4.9,5.8,7.2,2,0.4,3.5,3.9,17.3,NA,97,108,"jeriangrant"
"154",165,"Danny Green\greenda02","SG",28,"SAS",79,79,2062,5.2,13.9,0.376,2.9,8.7,0.332,2.4,5.3,0.448,0.8,1.1,0.739,1.2,6.3,7.5,3.5,2,1.6,1.9,3.5,14.2,NA,99,99,"dannygreen"
"155",166,"Draymond Green\greendr01","PF",25,"GSW",81,81,2808,6.9,14.1,0.49,1.7,4.4,0.388,5.2,9.7,0.537,3.9,5.7,0.696,2.3,10.9,13.2,10.3,2,1.9,4.5,4.1,19.5,NA,115,100,"draymondgreen"
"156",168,"Gerald Green\greenge01","SG",30,"MIA",69,14,1557,7.6,19.3,0.392,2.8,8.6,0.323,4.8,10.8,0.446,2.4,3,0.783,0.8,4.5,5.4,1.8,1.3,0.6,1.5,4.1,20.3,NA,99,107,"geraldgreen"
"157",169,"JaMychal Green\greenja01","PF",25,"MEM",78,15,1446,8.2,17.6,0.465,0.5,1.6,0.333,7.7,16,0.478,3.7,4.9,0.752,4.9,8.3,13.3,2.4,1.6,1.2,3,6.7,20.6,NA,105,107,"jamychalgreen"
"158",171,"Blake Griffin\griffbl01","PF",26,"LAC",35,35,1170,12.9,25.8,0.499,0.3,0.8,0.333,12.6,25.1,0.504,6,8.3,0.727,2.2,10.4,12.6,7.3,1.2,0.7,3.6,4.1,32.1,NA,108,103,"blakegriffin"
"159",172,"Jorge Gutierrez\gutiejo01","PG",27,"CHO",12,0,63,4.8,8.8,0.545,0,1.6,0,4.8,7.2,0.667,8,8.8,0.909,0,5.6,5.6,13.5,2.4,0,4.8,2.4,17.5,NA,124,105,"jorgegutierrez"
"160",174,"Jordan Hamilton\hamiljo02","SF",25,"NOP",11,4,304,8,18.9,0.422,2.1,7.3,0.289,5.9,11.6,0.507,2.3,3.4,0.667,2,8.2,10.1,4.1,1.3,0.5,2.8,3.9,20.4,NA,98,110,"jordanhamilton"
"161",175,"Tyler Hansbrough\hansbty01","PF",30,"CHO",44,0,343,4.7,10.4,0.451,0.3,0.4,0.667,4.4,9.9,0.441,5.6,9.5,0.585,5.9,7.2,13,1.2,1.8,1,1.8,8,15.2,NA,113,104,"tylerhansbrough"
"162",176,"Tim Hardaway\hardati02","SG",23,"ATL",51,1,864,6.5,15.2,0.43,2.7,8.1,0.338,3.8,7,0.537,2.9,3.2,0.893,0.4,4.5,4.9,2.9,1.2,0.4,1.3,2.7,18.6,NA,110,106,"timhardaway"
"163",177,"James Harden\hardeja01","SG",26,"HOU",82,82,3125,11.2,25.4,0.439,3.7,10.3,0.359,7.5,15.1,0.494,11.3,13.2,0.86,1,6.9,7.9,9.6,2.2,0.8,5.9,3.6,37.4,NA,115,108,"jamesharden"
