,name,last name,first name,position,team,year,average salary
100,williereed,Reed,Willie,PF,MIA,2016,1051721
101,christianwood,Wood,Christian,PF,CHA,2016,944691
102,mettaworldpeace,WorldPeace,Metta,SF,LAL,2016,1551659
103,jasonterry,Terry,Jason,SG,MIL,2016,1551659
104,raymondfelton,Felton,Raymond,PG,LAC,2016,1551659
105,chrisandersen,Andersen,Chris,PF,CLE,2016,1013142
106,brandonbass,Bass,Brandon,PF,LAC,2016,1551659
107,davidwest,West,David,PF,GSW,2016,1551659
108,geraldgreen,Green,Gerald,SG,BOS,2016,1410598
109,sashavujacic,Vujacic,Sasha,SG,NYK,2016,1410598
111,tylawson,Lawson,Ty,PG,SAC,2016,1315448
112,alananderson,Anderson,Alan,SG,LAC,2016,1315448
113,marcusthornton,Thornton,Marcus,SG,WAS,2016,928552
114,lancestephenson,Stephenson,Lance,SF,IND,2016,4090000
117,thomasrobinson,Robinson,Thomas,PF,LAL,2016,1050961
118,brianroberts,Roberts,Brian,PG,CHA,2016,1050961
119,deandreliggins,Liggins,DeAndre,SG,DAL,2016,1296463
122,ianclark,Clark,Ian,SG,GSW,2016,1015696
123,jamesmcadoo,McAdoo,James,SF,GSW,2016,980431
124,chassonrandle,Randle,Chasson,PG,NYK,2016,728236
127,treveongraham,Graham,Treveon,SG,CHA,2016,543471
128,kevinseraphin,Seraphin,Kevin,PF,IND,2016,1840500
129,mirzateletovic,Teletovic,Mirza,PF,MIL,2016,10500000
130,norriscole,Cole,Norris,PG,OKC,2016,288131
134,ryankelly,Kelly,Ryan,PF,ATL,2016,286785
135,mikemiller,Miller,Mike,SG,DEN,2016,3500000
136,javalemcgee,McGee,JaVale,C,GSW,2016,1403611
139,colealdrich,Aldrich,Cole,C,MIN,2016,7300000
140,damjanrudez,Rudez,Damjan,SF,ORL,2016,980431
147,langstongalloway,Galloway,Langston,PG,SAC,2016,5317000
148,okarowhite,White,Okaro,SF,MIA,2016,761803
151,benoudrih,Udrih,Beno,PG,DET,2016,1551659
