,name,last name,first name,position,team,year,average salary
38,chriskaman,Kaman,Chris,C,DAL,2012,8000000
39,kirkhinrich,Hinrich,Kirk,SG,CHI,2012,4000000
40,jordanhill,Hill,Jordan,C,LAL,2012,3500000
41,shannonbrown,Brown,Shannon,PG,PHX,2012,3500000
42,deshawnstevenson,Stevenson,DeShawn,SF,ATL,2012,2240450
43,rayallen,Allen,Ray,SG,MIA,2012,3159525
44,jerrydbayless,Bayless,Jerryd,PG,MEM,2012,3067500
45,lavoyallen,Allen,LaVoy,PF,PHI,2012,3030000
46,carlosdelfino,Delfino,Carlos,SG,HOU,2012,3000000
47,kwamebrown,Brown,Kwame,C,PHI,2012,2882473
48,nickyoung,Young,Nick,SF,PHI,2012,5600000
49,gregstiemsma,Stiemsma,Greg,C,MIN,2012,2632938
50,aarongray,Gray,Aaron,C,TOR,2012,2632938
51,anthonyrandolph,Randolph,Anthony,PF,DEN,2012,1750000
52,jeremyevans,Evans,Jeremy,SF,UTA,2012,1750000
53,aaronbrooks,Brooks,Aaron,PG,HOU,2012,2454000
54,jaredjeffries,Jeffries,Jared,PF,POR,2012,1541486
55,cjmiles,Miles,C.J.,SG,CLE,2012,2225000
56,williegreen,Green,Willie,SF,LAC,2012,1407666
57,granthill,Hill,Grant,SF,LAC,2012,2001033
58,jjhickson,Hickson,J.J,PF,POR,2012,4000000
59,chaunceybillups,Billups,Chauncey,PG,LAC,2012,4000000
60,djaugustin,Augustin,D.J.,PG,IND,2012,3500000
61,johnlucasiii,LucasIII,John,PG,TOR,2012,1533750
62,ishmaelsmith,Smith,Ishmael,PG,MIL,2012,951463
63,rashardlewis,Lewis,Rashard,PF,MIA,2012,1375844
64,hamedhaddadi,Haddadi,Hamed,C,PHX,2012,1348750
65,randyfoye,Foye,Randy,SG,UTA,2012,2500000
66,jamesanderson,Anderson,James,SG,HOU,2012,809973
67,patrickmills,Mills,Patrick,PG,SAS,2012,1109535
68,marcobelinelli,Belinelli,Marco,SF,CHI,2012,1957000
69,danielorton,Orton,Daniel,C,OKC,2012,917191
70,martellwebster,Webster,Martell,SF,WAS,2012,1750000
71,deandreliggins,Liggins,DeAndre,SG,OKC,2012,823244
72,etwaunmoore,Moore,E'Twaun,SG,ORL,2012,823244
73,jodiemeeks,Meeks,Jodie,SG,LAL,2012,1525000
74,jamaalmagloire,Magloire,Jamaal,C,TOR,2012,1325181
75,jermaineoneal,O'Neal,Jermaine,C,PHX,2012,1352181
76,nazrmohammed,Mohammed,Nazr,C,CHI,2012,1352181
77,jasoncollins,Collins,Jason,C,WAS,2012,1352181
78,antawnjamison,Jamison,Antawn,PF,LAL,2012,1352181
79,vladimirradmanovic,Radmanovic,Vladimir,SF,CHI,2012,1352181
80,chriswilcox,Wilcox,Chris,PF,BOS,2012,1352181
81,chrisquinn,Quinn,Chris,PG,CLE,2012,638141
82,leandrobarbosa,Barbosa,Leandro,SG,WAS,2012,1229255
87,marquisdaniels,Daniels,Marquis,SF,MIL,2012,1229255
88,mattbarnes,Barnes,Matt,SF,LAC,2012,1229255
89,damienwilkins,Wilkins,Damien,SG,PHI,2012,1223166
90,rogermason,Mason,Roger,SG,NOP,2012,1229255
91,royalivey,Ivey,Royal,PG,PHI,2012,1223166
96,kevinjones,Jones,Kevin,PF,CLE,2012,589450
97,andrayblatche,Blatche,Andray,C,WAS,2012,7794921
98,naterobinson,Robinson,Nate,PG,CHI,2012,1146337
99,ronnyturiaf,Turiaf,Ronny,C,LAC,2012,1146337
100,shaunlivingston,Livingston,Shaun,PG,CLE,2012,1108044
107,ronniebrewer,Brewer,Ronnie,SF,OKC,2012,1069509
110,devinebanks,Ebanks,Devin,SF,LAL,2012,1054389
111,dontegreene,Greene,Donte,SF,MEM,2012,516406
115,ivanjohnson,Johnson,Ivan,PF,ATL,2012,962195
116,dariusmorris,Morris,Darius,PG,LAL,2012,962195
121,ajprice,Price,A.J.,PG,WAS,2012,885120
122,anthonytolliver,Tolliver,Anthony,PF,ATL,2012,915852
123,justinholiday,Holiday,Justin,SG,PHI,2012,418116
126,williereed,Reed,Willie,PF,MEM,2012,395829
140,garretttemple,Temple,Garrett,SG,WAS,2012,572943
172,mickaelpietrus,Pietrus,Mickael,SF,TOR,2012,1005097
173,jrsmith,Smith,J.R.,SG,NYK,2012,2869597
174,ryangomes,Gomes,Ryan,SF,LAC,2012,4000000
180,robinlopez,Lopez,Robin,C,NOP,2012,5119761
181,barondavis,Davis,Baron,PG,CLE,2012,14325000
185,sashapavlovic,Pavlovic,Sasha,SG,POR,2012,1360237
186,stevenovak,Novak,Steve,SF,NYK,2012,3750001
187,samyoung,Young,Sam,SF,IND,2012,416527
189,alonzogee,Gee,Alonzo,SF,CLE,2012,3250000
190,joelprzybilla,Przybilla,Joel,C,MIL,2012,1352181
192,geraldgreen,Green,Gerald,SG,IND,2012,3500000
193,alananderson,Anderson,Alan,SG,TOR,2012,885120
