Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
285,Cartier Martin\martica01,SF,29,CHI,6,0,48,3.7,6.0,.625,2.3,3.7,.600,1.5,2.3,.667,1.5,3.0,.500,0.7,3.0,3.7,1.5,0.7,0.0,0.7,2.3,11.3
286,Kenyon Martin\martike01,PF,36,NYK,32,15,633,3.6,7.0,.512,0.0,0.1,.000,3.6,6.9,.516,0.6,1.1,.579,2.0,5.6,7.6,2.8,1.4,1.5,1.5,4.8,7.8
287,Kevin Martin\martike02,SG,30,MIN,68,68,2177,7.3,16.9,.430,1.9,4.9,.387,5.4,12.0,.448,5.0,5.6,.891,0.6,2.8,3.4,2.0,1.1,0.1,1.8,2.0,21.5
288,Roger Mason\masonro01,SG,33,MIA,25,2,260,3.5,9.3,.373,2.4,6.6,.354,1.1,2.6,.421,1.0,1.0,1.000,0.1,2.9,3.0,2.6,0.8,0.1,1.2,3.6,10.2
289,Wesley Matthews\matthwe02,SG,27,POR,82,82,2780,5.8,13.1,.441,2.6,6.6,.393,3.2,6.4,.490,3.3,3.9,.837,0.7,3.1,3.7,2.6,1.0,0.2,1.4,2.3,17.4
290,Jason Maxiell\maxieja01,PF,30,ORL,34,13,488,3.5,7.7,.448,0.0,0.0,,3.5,7.7,.448,1.1,2.3,.484,2.1,4.3,6.3,0.7,0.6,1.5,1.0,3.5,8.0
291,Eric Maynor\maynoer01,PG,26,TOT,31,0,327,3.5,11.1,.317,1.3,4.1,.324,2.2,7.0,.313,0.7,1.2,.545,1.0,3.3,4.3,5.7,1.0,0.3,3.2,1.9,9.0
291,Eric Maynor\maynoer01,PG,26,WAS,23,0,215,3.5,12.1,.292,1.3,4.2,.320,2.2,7.9,.277,0.3,0.5,.667,1.2,2.8,4.0,6.7,0.8,0.2,2.8,2.2,8.7
291,Eric Maynor\maynoer01,PG,26,PHI,8,0,112,3.5,9.3,.379,1.3,3.9,.333,2.3,5.5,.412,1.3,2.6,.500,0.6,4.2,4.8,3.9,1.3,0.6,3.9,1.3,9.6
292,O.J. Mayo\mayooj01,SG,26,MIL,52,23,1346,6.0,14.7,.407,2.2,6.1,.370,3.7,8.6,.433,2.0,2.4,.864,0.6,2.7,3.3,3.0,0.7,0.3,2.5,3.0,16.3
293,Luc Mbah a Moute\mbahalu01,PF-SF,27,TOT,64,7,1003,3.1,6.9,.451,0.1,0.6,.235,3.0,6.3,.472,1.7,2.4,.687,2.0,3.2,5.2,1.3,1.1,0.5,1.4,2.4,8.0
293,Luc Mbah a Moute\mbahalu01,SF,27,SAC,9,5,196,2.8,5.9,.469,0.2,0.6,.333,2.6,5.3,.483,1.7,2.4,.692,1.7,3.3,5.0,2.8,1.7,0.9,0.7,3.3,7.3
293,Luc Mbah a Moute\mbahalu01,PF,27,MIN,55,2,807,3.2,7.2,.447,0.1,0.6,.214,3.1,6.6,.469,1.7,2.4,.685,2.1,3.2,5.3,0.9,0.9,0.4,1.6,2.2,8.2
294,Ray McCallum\mccalra01,PG,22,SAC,45,10,897,4.5,12.0,.377,0.9,2.4,.373,3.7,9.7,.378,1.3,1.7,.744,0.7,2.4,3.2,4.8,0.9,0.4,1.6,2.8,11.2
295,C.J. McCollum\mccolcj01,SG,22,POR,38,0,476,5.6,13.5,.416,2.3,6.1,.375,3.3,7.4,.449,1.7,2.6,.676,0.5,3.1,3.6,2.0,1.1,0.2,2.6,4.0,15.2
296,JaVale McGee\mcgeeja01,C,26,DEN,5,5,79,7.7,17.3,.447,0.0,0.0,,7.7,17.3,.447,0.5,0.5,1.000,4.6,3.2,7.7,0.9,0.5,3.2,3.6,7.3,15.9
297,Ben McLemore\mclembe01,SG,20,SAC,82,55,2187,4.2,11.2,.376,1.6,4.9,.320,2.6,6.3,.419,1.9,2.4,.804,0.9,3.0,3.9,1.3,0.7,0.3,1.6,3.3,11.9
298,Josh McRoberts\mcrobjo01,PF,26,CHA,78,78,2360,3.8,8.6,.436,1.6,4.4,.361,2.2,4.2,.516,0.9,1.3,.729,1.3,4.4,5.7,5.1,0.9,0.7,1.3,2.9,10.1
299,Jodie Meeks\meeksjo01,SG,26,LAL,77,70,2556,5.8,12.6,.463,2.3,5.7,.401,3.5,6.9,.514,3.1,3.6,.857,0.4,2.3,2.7,1.9,1.6,0.1,1.6,1.7,17.0
300,Gal Mekel\mekelga01,PG,25,DAL,31,1,292,3.7,10.6,.349,0.6,2.5,.250,3.1,8.1,.379,1.0,1.5,.667,0.6,2.7,3.3,7.8,0.5,0.1,3.8,3.8,9.0
301,Khris Middleton\middlkh01,SF,22,MIL,82,64,2460,5.5,12.5,.440,1.8,4.2,.414,3.7,8.3,.454,1.7,2.0,.861,0.9,3.7,4.5,2.5,1.2,0.3,1.8,3.6,14.5
302,C.J. Miles\milescj01,SG,26,CLE,51,34,984,6.5,15.0,.435,3.0,7.7,.393,3.5,7.2,.480,2.3,2.7,.853,0.7,3.1,3.8,1.9,1.7,0.5,1.6,3.8,18.4
303,Andre Miller\millean02,SG,37,TOT,58,2,982,3.9,8.5,.459,0.4,0.8,.524,3.5,7.7,.452,2.2,2.8,.779,1.0,3.7,4.8,7.2,1.2,0.3,2.2,2.7,10.4
303,Andre Miller\millean02,SG,37,DEN,30,2,570,4.2,9.1,.458,0.6,1.1,.500,3.6,8.0,.452,2.2,3.0,.745,1.0,3.6,4.6,6.3,0.9,0.4,2.1,2.0,11.1
303,Andre Miller\millean02,SG,37,WAS,28,0,412,3.5,7.6,.460,0.2,0.3,.667,3.3,7.3,.452,2.2,2.6,.833,1.0,3.9,5.0,8.5,1.7,0.2,2.4,3.8,9.3
304,Darius Miller\milleda01,SF,23,NOP,45,7,723,3.6,8.3,.440,1.2,3.8,.325,2.4,4.4,.539,1.4,1.8,.806,0.4,2.1,2.6,2.1,1.2,0.4,1.1,4.4,10.0
305,Mike Miller\millemi01,SF,33,MEM,82,4,1707,4.5,9.3,.481,2.3,4.9,.459,2.2,4.4,.505,1.0,1.2,.821,0.6,3.7,4.4,2.7,0.5,0.1,1.6,2.0,12.2
306,Quincy Miller\millequ01,PF,21,DEN,52,16,789,4.3,11.7,.367,1.4,4.3,.319,2.9,7.4,.395,1.8,2.5,.709,1.6,5.1,6.7,1.2,1.0,1.5,2.2,3.2,11.7
307,Patty Mills\millspa02,PG,25,SAS,81,2,1527,7.3,15.7,.464,3.2,7.5,.425,4.1,8.2,.500,1.7,1.9,.890,0.8,3.2,4.0,3.5,1.6,0.2,1.5,2.7,19.5
