last name,first name,age,position,team,faStatus,total-contract,average
Augustin,D.J.,29,PG,CHI,UFA,6000000,3000000
Miller,Mike,37,SG,MEM,UFA,5586940,2793470
Nelson,Jameer,35,PG,ORL,UFA,5586940,2793470
Roberts,Brian,31,PG,NOP,UFA,5586940,2793470
Hinrich,Kirk,36,SG,CHI,UFA,5586940,2793470
Haslem,Udonis,37,PF,MIA,UFA,5586940,2793470
Monroe,Greg,27,C,DET,RFA,5479933,5479933
Johnson,James,30,PF,MEM,UFA,5000000,2500000
Sessions,Ramon,31,PG,MIL,UFA,4247465,2123733
Udrih,Beno,35,PG,MEM,UFA,4247465,2123733
Granger,Danny,34,SF,LAC,UFA,4247465,2123733
Farmar,Jordan,30,PG,LAL,UFA,4247465,2123733
Blake,Steve,37,PG,GSW,UFA,4247465,2123733
Bazemore,Kent,28,SF,LAL,UFA,4000000,2000000
Seraphin,Kevin,27,PF,WAS,RFA,3898691,3898691
Jerrett,Grant,24,PF,OKC,UFA,3867199,966800
Williams,Mo,34,PG,POR,UFA,3750000,3750000
Kelly,Ryan,26,PF,LAL,UFA,3374250,1687125
Smith,Jason,31,PF,NOP,UFA,3278000,3278000
Gray,Aaron,32,C,SAC,UFA,2584131,1292066
Martin,Cartier,32,PF,ATL,UFA,2416650,1208325
Rush,Brandon,32,SG,UTH,UFA,2416649,1208325
Temple,Garrett,31,SG,WAS,UFA,2081686,1040843
Aminu,Al-Farouq,27,SF,NOP,UFA,2081686,1040843
Davis,Ed,28,PF,MEM,UFA,2081686,1040843
Baynes,Aron,30,PF,SAS,RFA,2077000,2077000
Brand,Elton,38,PF,ATL,UFA,2000000,2000000
Murry,Toure,27,SF,NYK,UFA,2000000,1000000
Salmons,John,37,SF,ATL,UFA,2000000,2000000
Moore,E'Twaun,28,SG,ORL,UFA,1963584,981792
Garrett,Diante,28,PG,TOR,UFA,1896591,948296
Miller,Darius,27,SF,NOP,UFA,1896591,948296
Daniels,Troy,26,SG,HOU,RFA,1763758,881879
Mohammed,Nazr,39,C,CHI,UFA,1448490,1448490
Turkoglu,Hedo,38,SF,LAC,UFA,1448490,1448490
Barbosa,Leandro,34,SG,PHX,UFA,1448490,1448490
Marion,Shawn,39,SF,DAL,UFA,1448490,1448490
Jones,James,36,SG,MIA,UFA,1448490,1448490
Pargo,Jannero,37,PG,CHA,UFA,1448490,1448490
Bonner,Matt,37,C,SAS,UFA,1448490,1448490
Jefferson,Richard,37,SF,UTH,UFA,1448490,1448490
Lewis,Rashard,38,PF,MIA,UFA,1448490,1448490
Gooden,Drew,36,PF,WAS,UFA,1448490,1448490
Garcia,Francisco,35,SG,HOU,UFA,1316809,1316809
Price,Ronnie,34,PG,ORL,UFA,1316809,1316809
Hollins,Ryan,32,C,LAC,UFA,1310286,1310286
Brown,Shannon,31,PG,NYK,UFA,1310286,1310286
Stuckey,Rodney,31,PG,DET,UFA,1227985,1227985
Davis,Glen,31,PF,LAC,UFA,1227985,1227985
Brooks,Aaron,32,PG,DEN,UFA,1145685,1145685
Henry,Xavier,26,SG,LAL,UFA,1082000,1082000
Thabeet,Hasheem,30,C,PHI,UFA,1063384,1063384
Ellington,Wayne,29,SG,SAC,UFA,1063384,1063384
Casspi,Omri,29,SF,NOP,UFA,1063384,1063384
Udoh,Ekpe,29,PF,MIL,UFA,981084,981084
Johnson,Wesley,30,SG,LAL,UFA,981084,981084
Smith,Ishmael,29,PG,PHX,UFA,981084,981084
Adrien,Jeff,31,SF,MIL,UFA,981084,981084
Aldrich,Cole,28,C,NYK,UFA,981084,981084
Douglas-Roberts,Chris,30,SG,CHA,UFA,948163,948163
Hamilton,Jordan,26,SF,HOU,UFA,948163,948163
Fredette,Jimmer,28,PG,CHI,UFA,948163,948163
Allen,LaVoy,28,PF,IND,UFA,948163,948163
James,Bernard,32,C,DAL,UFA,915243,915243
Hummel,Robbie,28,SF,MIN,UFA,880000,880000
Siva,Peyton,26,PG,DET,UFA,816482,816482
Thomas,Adonis,24,SF,PHI,RFA,816482,816482
