Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
413,Lance Stephenson\stephla01,SG,26,IND,6,0,132,6.8,16.7,.409,1.9,3.0,.625,4.9,13.6,.361,0.8,1.1,.667,0.4,8.7,9.1,9.5,1.1,0.8,4.2,4.5,16.3,,94,109
414,Jarnell Stokes\stokeja01,C,23,DEN,2,0,7,7.0,7.0,1.000,0.0,0.0,,7.0,7.0,1.000,7.0,14.0,.500,7.0,7.0,14.0,14.0,7.0,0.0,0.0,20.9,20.9,,183,101
415,Diamond Stone\stonedi01,C,19,LAC,7,0,24,6.2,27.1,.231,0.0,0.0,,6.2,27.1,.231,8.3,8.3,1.000,2.1,10.4,12.5,0.0,0.0,2.1,4.2,10.4,20.8,,69,108
416,Rodney Stuckey\stuckro01,PG,30,IND,39,0,696,6.5,17.5,.373,1.4,4.3,.317,5.2,13.2,.391,5.8,7.7,.748,0.4,5.6,6.0,6.0,1.2,0.0,3.8,3.2,20.2,,94,112
417,Jared Sullinger\sullija01,PF,24,TOR,11,1,118,6.4,20.2,.319,1.3,7.7,.167,5.2,12.5,.414,1.7,3.4,.500,4.3,7.3,11.6,1.3,1.7,0.4,1.7,7.3,15.9,,86,108
418,Edy Tavares\tavarwa01,C,24,TOT,2,0,28,7.1,8.9,.800,0.0,0.0,,7.1,8.9,.800,0.0,5.3,.000,7.1,12.5,19.6,1.8,0.0,10.7,3.6,5.3,14.2,,109,98
418,Edy Tavares\tavarwa01,C,24,ATL,1,0,4,12.3,12.3,1.000,0.0,0.0,,12.3,12.3,1.000,0.0,24.6,.000,0.0,12.3,12.3,0.0,0.0,0.0,0.0,0.0,24.6,,78,108
418,Edy Tavares\tavarwa01,C,24,CLE,1,0,24,6.2,8.3,.750,0.0,0.0,,6.2,8.3,.750,0.0,2.1,.000,8.3,12.5,20.8,2.1,0.0,12.5,4.2,6.2,12.5,,115,96
419,Isaiah Taylor\taylois01,PG,22,HOU,4,0,52,0.9,6.5,.143,0.0,1.8,.000,0.9,4.6,.200,0.9,1.8,.500,0.9,1.8,2.8,2.8,0.9,0.9,0.0,5.5,2.8,,73,114
420,Jeff Teague\teaguje01,PG,28,IND,82,82,2657,7.6,17.1,.442,1.7,4.7,.357,5.9,12.4,.475,6.8,7.8,.867,0.6,5.6,6.2,12.0,1.9,0.6,4.1,3.1,23.6,,115,110
421,Mirza Teletovic\teletmi01,PF,31,MIL,70,2,1133,7.0,18.7,.373,4.7,13.7,.341,2.3,5.1,.460,1.6,2.0,.778,0.5,6.8,7.3,2.2,0.5,0.6,1.7,4.9,20.2,,99,113
422,Garrett Temple\templga01,SG,30,SAC,65,21,1728,5.4,12.6,.424,2.4,6.4,.373,3.0,6.2,.476,1.7,2.2,.784,0.9,4.5,5.4,4.9,2.5,0.8,2.3,4.1,14.8,,106,111
423,Jason Terry\terryja01,SG,39,MIL,74,0,1365,3.9,9.0,.432,2.7,6.4,.427,1.2,2.7,.444,0.9,1.1,.828,0.6,3.4,3.9,3.6,1.7,0.7,1.3,3.5,11.4,,116,112
424,Isaiah Thomas\thomais02,PG,27,BOS,76,76,2569,13.2,28.4,.463,4.7,12.5,.379,8.4,16.0,.528,11.4,12.5,.909,0.8,3.1,4.0,8.6,1.4,0.3,4.1,3.2,42.4,,122,112
425,Lance Thomas\thomala01,PF,28,NYK,46,15,968,5.0,12.6,.398,2.0,4.4,.447,3.0,8.2,.371,2.2,2.6,.843,1.7,5.7,7.3,1.8,1.1,0.3,1.3,4.4,14.2,,108,114
426,Hollis Thompson\thompho01,SG,25,TOT,40,9,752,5.0,13.0,.385,2.1,6.2,.337,2.9,6.8,.429,1.2,1.9,.655,1.2,6.0,7.3,2.3,1.3,0.4,0.7,4.5,13.3,,102,111
426,Hollis Thompson\thompho01,SG,25,PHI,31,1,561,5.7,13.8,.415,2.3,6.2,.366,3.5,7.6,.455,1.1,1.7,.650,1.3,6.0,7.3,2.3,1.2,0.5,0.8,4.8,14.8,,106,111
426,Hollis Thompson\thompho01,SG,25,NOP,9,8,191,2.8,10.5,.268,1.5,6.2,.250,1.3,4.4,.294,1.5,2.3,.667,1.0,6.2,7.2,2.3,1.5,0.0,0.5,3.6,8.7,,88,110
427,Klay Thompson\thompkl01,SG,26,GSW,78,78,2649,11.7,25.0,.468,4.9,11.8,.414,6.8,13.2,.516,3.4,4.0,.853,0.9,4.3,5.2,2.9,1.2,0.7,2.3,2.5,31.6,,111,108
428,Tristan Thompson\thomptr01,C,25,CLE,78,78,2336,5.6,9.3,.600,0.0,0.1,.000,5.6,9.3,.604,2.3,4.6,.498,6.1,9.2,15.3,1.6,0.8,1.8,1.4,3.8,13.5,,128,109
